金悦熙城 , | 2室2厅 | 60.28平米 | 南 | 精装 | 有电梯,石坪桥,82万
融景城锦峰 , | 4室1厅 | 144平米 | 北 | 毛坯 | 有电梯,五里店,200万
金科廊桥天都 , | 3室2厅 | 81平米 | 东南 | 毛坯 | 有电梯,大学城,83万
融科海阔天空 , | 4室2厅 | 163.78平米 | 南 北 | 简装 | 有电梯,鸳鸯,226万
江屿朗廷 , | 3室2厅 | 105平米 | 东南 | 精装 | 有电梯,大坪,170万
劲力五星城 , | 4室2厅 | 137平米 | 西北 | 简装 | 有电梯,北环,205万
太阳园 , | 2室1厅 | 49平米 | 东 | 精装 | 有电梯,冉家坝,73万
世茂茂悦府一二期高层 , | 3室1厅 | 71.54平米 | 北 | 精装 | 有电梯,照母山,128万
龙湖睿城 , | 1室1厅 | 51.8平米 | 西 | 精装 | 有电梯,大学城,53万
上品拾陆 , | 2室2厅 | 87.6平米 | 南 | 简装 | 有电梯,黄泥磅,125万
金辉城春上南滨 , | 3室2厅 | 94平米 | 东 | 精装 | 有电梯,融侨半岛,155万
万科锦程 , | 2室1厅 | 70.99平米 | 东南 | 精装 | 有电梯,大坪,138万
富力城春天里B区 , | 2室2厅 | 82平米 | 东南 | 精装 | 有电梯,大学城,85万
康德国会山 , | 2室1厅 | 50.24平米 | 西北 | 简装 | 有电梯,南坪,78万
旭辉城橙郡 , | 2室2厅 | 60.45平米 | 西 | 精装 | 有电梯,龙洲湾,81万
金科阳光小镇一期 , | 4室2厅 | 128.28平米 | 南 | 毛坯 | 有电梯,华岩,147万
万科城 , | 3室2厅 | 110平米 | 南 北 | 精装 | 有电梯,照母山,155万
江屿朗廷 , | 2室2厅 | 80.89平米 | 南 | 简装 | 有电梯,大坪,126万
万科城三期 , | 2室1厅 | 79平米 | 东南 | 精装 | 有电梯,照母山,133万
恒大山水城 , | 2室2厅 | 82平米 | 东 | 精装 | 有电梯,照母山,119万
麻纱市 , | 3室2厅 | 133.62平米 | 东南 | 精装,老城区,50万
融景城尚峰 , | 2室2厅 | 85.64平米 | 北 | 精装 | 有电梯,五里店,155万
山千院西苑 , | 2室2厅 | 76平米 | 东南 | 精装 | 有电梯,六公里,102万
鲁能领秀城骏峰 , | 3室2厅 | 81.64平米 | 东南 | 毛坯 | 有电梯,茶园新区,95万
保利花半里百合园 , | 2室1厅 | 79.3平米 | 南 | 毛坯 | 有电梯,杨家坪,133万
世茂茂悦府一二期高层 , | 3室2厅 | 89.8平米 | 东南 | 毛坯 | 有电梯,照母山,138万
华宇春江花月 , | 2室2厅 | 82.88平米 | 东 | 简装 | 有电梯,谢家湾,110万
万科御澜道 , | 4室2厅 | 156平米 | 南 | 毛坯 | 有电梯,江北嘴,285万
龙湖源著南区 , | 2室2厅 | 82.72平米 | 北 | 毛坯 | 有电梯,石子山,168万
融景城郦苑 , | 3室1厅 | 152平米 | 北 | 精装 | 有电梯,五里店,246万
